Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT MLT MSCC 2022,BUT Management de la Logistique et des Transports - Parcours Mobilité et Supply Chain Connectées,"<div class=""container text-center p-3"" style=""background: #660066;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/management-de-la-logistique-et-des-transports/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/90/21632-mlt-650-650-90d01448.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Management-de-la-Logistique-et-des-Transports"" data-line=""201""><span style=""color: #ffffff;"">BUT Management de la Logistique et des Transports</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Mobilit&eacute; et Supply Chain Connect&eacute;es</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">En plus des comp&eacute;tences communes, le dipl&ocirc;m&eacute; du parcours Mobilit&eacute; et supply chain connect&eacute;es ma&icirc;trise &eacute;galement la comp&eacute;tence mettre en oeuvre la digitalisation des processus. Il contribue plus particuli&egrave;rement &agrave; la mise en place et &agrave;&nbsp;l&rsquo;am&eacute;lioration de solutions digitales au sein de la cha&icirc;ne logistique et transport. Il participe &agrave; l&rsquo;accompagnement de projets de&nbsp;digitalisation en int&eacute;grant les technologies innovantes appliqu&eacute;es &agrave; la gestion des flux.</span></p>
<p data-line=""203""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe16 (PDF-1.03 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/8/spe617_annexe16_1426148.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; management de la logistique et des transports : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT MLT MSCC 2022-C1,🔴 Transporter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir une op&eacute;ration de transport de&nbsp;marchandises et/ou de personnes</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant tous les modes de transport et leurs cadres r&egrave;glementaires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des contraintes internes et externes dict&eacute;es par la sp&eacute;cification des besoins</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les outils de gestion appropri&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant &agrave; la tra&ccedil;abilit&eacute; des envois et &agrave; la s&eacute;curit&eacute; des biens, et/ou des personnes transport&eacute;es</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">r&eacute;daction de la r&eacute;ponse &agrave; un appel d'offre ou &agrave; une demande de cotation dans un contexte national ou international</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&eacute;laboration de plans de transport de marchandises</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">cr&eacute;ation de services de transport de voyageurs</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MLT MSCC 2022-C2,🟠 Organiser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir et organiser les op&eacute;rations d'une&nbsp;cha&icirc;ne logistique globale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant les cadres r&egrave;glementaires des organisations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des contraintes internes et externes dict&eacute;es par la sp&eacute;cification des besoins</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les outils de gestion appropri&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant &agrave; la tra&ccedil;abilit&eacute; des produits, &agrave; la s&eacute;curit&eacute; et &agrave; la suret&eacute; de la cha&icirc;ne logistique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">proposition d'une organisation pour des op&eacute;rations de logistique amont (approvisionnement)</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">proposition d'une organisation pour des op&eacute;rations de logistique interne</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">proposition d'une organisation pour des op&eacute;rations de logistique aval (distribution)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MLT MSCC 2022-C3,🟡 Manager,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Manager les ressources et les flux logistiques et&nbsp;transports dans un contexte national et&nbsp;international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant les outils des syst&egrave;mes d'information (tableur, ERP, WMS, TMS, ) et les technologies innovantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant une d&eacute;marche d'am&eacute;lioration continue int&eacute;grant la responsabilit&eacute; soci&eacute;tale et envionnementale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une communication interne et externe efficace entre les acteurs de la supply chain</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'adaptant &agrave; des interlocuteurs nationaux et internationaux</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">mise en oeuvre d'une ou plusieurs solutions dans un processus intralogistique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">mise en oeuvre d'une ou plusieurs solutions dans l'exploitation des transports de marchandises</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">mise en oeuvre d'une ou plusieurs solutions dans l'exploitation des transports de personnes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MLT MSCC 2022-C4,🟢 Digitaliser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mettre en oeuvre les mobilit&eacute;s et la supply chain&nbsp;connect&eacute;es</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte de tous les acteurs intervenants dans la digitalisation (intrasite et multisites)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte de la responsabilit&eacute; contractuelle et de l'&eacute;volution de la r&egrave;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'appuyant sur des solutions innovantes et collaboratives</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adoptant une d&eacute;marche projet int&eacute;grant la gestion des risques</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">contribution &agrave; l'&eacute;tude de faisabilit&eacute; et &agrave; l'&eacute;valuation d'un projet de digitalisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">contribution &agrave; la mise en place ou &agrave; l'am&eacute;lioration de solutions digitales sp&eacute;cifiques &agrave; la logistique ou &agrave; la mobilit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">contribution &agrave; l'accompagnement du changement induit par la mise en place ou l'&eacute;volution de solutions digitales</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1,PN LP-BUT MLT MSCC 2022-C1-L1,⭐ Élaborer des solutions de transport multimodal,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1,PN LP-BUT MLT MSCC 2022-C1-L2,⭐⭐ Construire un schéma transport,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2,PN LP-BUT MLT MSCC 2022-C2-L1,⭐ Organiser une opération logistique simple,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2,PN LP-BUT MLT MSCC 2022-C2-L2,⭐⭐ Organiser une opération logistique complexe,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2,PN LP-BUT MLT MSCC 2022-C2-L3,⭐⭐⭐ Organiser la chaîne logistique,,,,,,,,,,,
